,nrOfConversations,longestConversation,longestConversationInDays,averageConversationLength,averageConversationLengthInDays,medianConversationLength,medianConversationLengthInDays,nrOfOneMessageConversations,percentOfOneMessageConversations,nrOfGhostingsAfterInitialMessage,ageFilterMin,ageFilterMax,appOpens,matches,messagesReceived,messagesSent,swipeLikes,swipePasses,birthYear,createYear,F,M,bisexual,gay,straight,swipeRatio,successRate,accountAge,averagenrofConversations_annual,averagenrofOneMessageConversations_annual,averageMatches_annual,totalSwipes,averageSwipes_annual,averageappOpens_annual,messagesRatio,averagenrOfGhostingsAfterInitialMessage_annual,ghostingPercentage,ageFilterRange,swipesPerappOpen
0,739,133,683.5574421296296,8.56021650879567,10.236619931839824,3,0.08113425925925925,226,30.581867388362653,66,21,35,6839,3408,3261,3360,23341,24229,1976,2016,0,1,0,0,1,0.9633497048990879,0.14600916841609185,6,123.16666666666667,37.666666666666664,568.0,47570,7928.333333333333,1139.8333333333333,0.9705357142857143,11.0,0.08930987821380243,14,6.955695277087293
2,194,50,202.0328935185185,4.634020618556701,3.180567905211914,2,0.0025810185185185185,75,38.659793814432994,17,28,38,4769,571,1121,834,1689,28210,1993,2019,1,0,0,0,1,0.05987238567883729,0.33806986382474835,3,64.66666666666667,25.0,190.33333333333334,29899,9966.333333333334,1589.6666666666667,1.3441247002398082,5.666666666666667,0.08762886597938144,10,6.269448521702663
3,155,119,27.443935185185186,7.445161290322581,1.316233273596177,2,0.0007523148148148148,45,29.03225806451613,23,21,37,1677,136,264,440,18964,7111,1992,2019,0,1,0,0,1,2.6668541695964,0.007171482809533854,3,51.666666666666664,15.0,45.333333333333336,26075,8691.666666666666,559.0,0.6,7.666666666666667,0.14838709677419354,16,15.548598688133572
4,240,690,289.08952546296297,20.5875,4.892121527777776,5,0.28663194444444445,36,15.0,9,18,30,6670,292,4979,5037,10804,53694,2001,2019,0,1,0,0,1,0.20121428837486496,0.02702702702702703,3,80.0,12.0,97.33333333333333,64498,21499.333333333332,2223.3333333333335,0.9884852094500695,3.0,0.0375,12,9.669865067466267
6,11,10,0.14725694444444445,2.272727272727273,0.01724642255892256,1,0.0,9,81.81818181818183,0,26,50,377,36,19,28,1869,275,2001,2020,0,1,0,0,1,6.796363636363636,0.019261637239165328,2,5.5,4.5,18.0,2144,1072.0,188.5,0.6785714285714286,0.0,0.0,24,5.687002652519894
8,775,79,747.3334027777778,3.8851612903225807,7.710443279569887,1,0.0,403,52.0,12,18,24,17008,1307,1974,2867,35284,73231,1999,2018,0,1,0,0,1,0.48181780939765945,0.03704228545516381,4,193.75,100.75,326.75,108515,27128.75,4252.0,0.6885245901639344,3.0,0.015483870967741935,6,6.380232831608655
11,9,154,12.251435185185185,39.55555555555556,3.0711664094650204,6,0.4104861111111111,1,11.11111111111111,0,21,31,1159,24,198,359,1053,2520,1993,2020,0,1,0,0,1,0.41785714285714287,0.022792022792022793,2,4.5,0.5,12.0,3573,1786.5,579.5,0.5515320334261838,0.0,0.0,10,3.082830025884383
14,44,32,28.197280092592592,5.159090909090909,2.3380402988215483,2,0.01758101851851852,15,34.090909090909086,5,27,34,644,160,214,163,732,8714,1994,2020,1,0,1,0,0,0.08400275418866192,0.2185792349726776,2,22.0,7.5,80.0,9446,4723.0,322.0,1.312883435582822,2.5,0.11363636363636363,7,14.667701863354038
15,211,311,320.7790277777778,11.66824644549763,6.834098209583993,3,0.007314814814814815,60,28.436018957345972,16,18,1000,4351,438,2053,1914,39026,38973,1987,2019,0,1,0,0,1,1.0013599158391706,0.011223287039409625,3,70.33333333333333,20.0,146.0,77999,25999.666666666668,1450.3333333333333,1.0726227795193313,5.333333333333333,0.07582938388625593,982,17.92668352102965
16,96,861,89.9642013888889,49.46875,6.101508969907409,15,0.9957638888888889,6,6.25,1,26,36,6787,484,4415,4494,14291,16645,1987,2014,0,1,0,0,1,0.8585761489936918,0.03386746903645651,8,12.0,0.75,60.5,30936,3867.0,848.375,0.9824210057854917,0.125,0.010416666666666666,10,4.558125828790335
